Q_id,Id,CreationDate,ParentId
56418580,56418768,2019-06-02 20:35:03,56418580
59092390,59092649,2019-11-28 16:02:30,59092390
52547157,52567101,2018-09-29 09:42:48,52547157
43781526,43811604,2017-05-05 18:27:54,43781526
62432572,62640078,2020-06-29 14:14:41,62432572
56649583,56749863,2019-06-25 08:30:59,56649583
58278247,58278647,2019-10-08 00:18:31,58278247
57284345,57284626,2019-07-31 06:35:41,57284345
57284345,57903798,2019-09-12 09:34:24,57284345
57284345,59320819,2019-12-13 10:38:58,57284345
57284345,62999647,2020-07-20 16:16:32,57284345
57284345,63169931,2020-07-30 09:13:02,57284345
57284345,64570666,2020-10-28 10:11:45,57284345
63111030,63111976,2020-07-27 09:00:23,63111030
61128428,61260526,2020-04-16 21:43:07,61128428
61128428,61278998,2020-04-17 19:13:34,61128428
62253755,62253959,2020-06-08 02:08:19,62253755
63707986,63708303,2020-09-02 15:03:23,63707986
52615296,52620282,2018-10-03 05:34:11,52615296
52615296,54258600,2019-01-18 17:11:42,52615296
50812838,50812871,2018-06-12 08:43:40,50812838
50812838,53544723,2018-11-29 17:40:18,50812838
50812838,61668842,2020-05-07 22:29:06,50812838
50812838,63555791,2020-08-24 06:29:41,50812838
58581464,58581519,2019-10-27 17:01:07,58581464
58581464,58584804,2019-10-28 01:27:16,58581464
58581464,63393338,2020-08-13 10:39:52,58581464
54749244,54749794,2019-02-18 14:48:53,54749244
54749244,54749810,2019-02-18 14:49:29,54749244
56401266,56402192,2019-05-31 22:06:01,56401266
54878415,54879487,2019-02-26 06:18:46,54878415
56133521,56133998,2019-05-14 15:32:10,56133521
60513469,60518931,2020-03-04 04:07:04,60513469
50007085,51939330,2018-08-20 22:33:20,50007085
50007085,57230515,2019-07-27 08:34:47,50007085
57499867,57501279,2019-08-14 20:01:20,57499867
54695953,54731085,2019-02-17 07:29:50,54695953
61562456,61564886,2020-05-02 19:07:14,61562456
55672391,55677914,2019-04-14 17:11:17,55672391
57724134,57724253,2019-08-30 09:39:56,57724134
57724134,57724308,2019-08-30 09:42:57,57724134
57724134,61830834,2020-05-16 01:39:06,57724134
57236261,57238226,2019-07-28 05:32:58,57236261
51097719,51098200,2018-06-29 09:10:19,51097719
51097719,51174036,2018-07-04 12:45:20,51097719
51097719,51180099,2018-07-04 19:53:04,51097719
63268886,63274656,2020-08-05 22:59:26,63268886
52969995,52989641,2018-10-25 12:47:06,52969995
53586245,53593936,2018-12-03 12:32:48,53586245
60768583,60769131,2020-03-20 05:45:33,60768583
55852727,55854136,2019-04-25 16:47:56,55852727
63145378,63145833,2020-07-29 03:19:51,63145378
49033764,49035901,2018-02-28 18:04:23,49033764
61509872,64278678,2020-10-09 10:58:07,61509872
62849789,62850394,2020-07-11 14:28:33,62849789
62849789,62850414,2020-07-11 14:29:51,62849789
60863206,60867753,2020-03-26 12:54:24,60863206
59079411,59165824,2019-12-03 21:44:57,59079411
61808965,61814533,2020-05-15 08:02:33,61808965
61808965,61828646,2020-05-15 21:28:47,61808965
59994462,60003912,2020-01-31 12:27:04,59994462
57095189,57098489,2019-07-18 15:56:29,57095189
55694263,55694324,2019-04-15 17:19:06,55694263
55694263,57320309,2019-08-02 05:13:47,55694263
64948852,65047753,2020-11-28 08:26:01,64948852
62068434,62086909,2020-05-29 13:17:04,62068434
48343857,48344268,2018-01-19 15:19:53,48343857
48343857,55742819,2019-04-18 09:14:24,48343857
60438983,60440243,2020-02-27 19:12:36,60438983
43961051,46645148,2017-10-09 11:15:59,43961051
58799486,58801933,2019-11-11 13:02:53,58799486
58799486,62835836,2020-07-10 13:54:44,58799486
61335217,61335909,2020-04-21 04:20:44,61335217
61014484,61016400,2020-04-03 16:32:01,61014484
63072770,63074078,2020-07-24 12:59:59,63072770
53032586,53032985,2018-10-28 15:12:50,53032586
53032586,53035016,2018-10-28 18:55:46,53032586
57065070,57065653,2019-07-16 21:26:54,57065070
64334033,64334237,2020-10-13 11:20:06,64334033
60567538,60723675,2020-03-17 13:45:30,60567538
56327475,56345327,2019-05-28 15:16:17,56327475
50195080,50574928,2018-05-29 00:52:17,50195080
50195080,54390600,2019-01-27 17:00:43,50195080
50195080,63249368,2020-08-04 14:46:13,50195080
64605776,64675422,2020-11-04 06:58:17,64605776
63629212,63629416,2020-08-28 07:35:54,63629212
51756581,51758045,2018-08-09 02:36:19,51756581
65051014,65051057,2020-11-28 15:10:20,65051014
63022629,63023487,2020-07-21 21:38:33,63022629
51115476,51116966,2018-06-30 17:12:05,51115476
63518688,63519002,2020-08-21 08:08:25,63518688
63518688,63524751,2020-08-21 14:27:09,63518688
63756773,63757286,2020-09-05 18:33:42,63756773
59941776,59944927,2020-01-28 08:44:00,59941776
62737043,65062665,2020-11-29 16:53:44,62737043
62434075,62434868,2020-06-17 17:25:41,62434075
63624390,63624891,2020-08-27 22:20:07,63624390
64124757,64126847,2020-09-29 20:03:31,64124757
52815264,52815644,2018-10-15 11:22:57,52815264
58877166,58878253,2019-11-15 13:39:38,58877166
50408673,50544478,2018-05-26 15:46:54,50408673
50408673,63536461,2020-08-22 13:00:49,50408673
64180517,64228596,2020-10-06 15:06:00,64180517
61146458,61147508,2020-04-10 19:39:06,61146458
53530810,55720103,2019-04-17 04:49:11,53530810
45617017,45879827,2017-08-25 10:55:51,45617017
45617017,52943729,2018-10-23 07:45:55,45617017
51603798,51605529,2018-07-31 04:37:21,51603798
60538059,60538350,2020-03-05 04:45:56,60538059
53743498,53745208,2018-12-12 14:27:50,53743498
52277083,52283490,2018-09-11 20:05:31,52277083
53894496,53896995,2018-12-22 15:35:36,53894496
58956958,58957271,2019-11-20 14:56:38,58956958
58956958,61565797,2020-05-02 20:21:49,58956958
62120741,62121868,2020-05-31 20:06:52,62120741
62120741,62123349,2020-05-31 22:39:10,62120741
62422644,62422862,2020-06-17 06:39:04,62422644
58686400,58694593,2019-11-04 13:37:27,58686400
58686400,59125994,2019-12-01 13:30:48,58686400
58686400,61824346,2020-05-15 16:45:40,58686400
58686400,64472725,2020-10-21 22:44:09,58686400
58686400,64693815,2020-11-05 08:43:41,58686400
59654271,59680789,2020-01-10 11:27:48,59654271
62247674,62254618,2020-06-08 03:36:21,62247674
45446983,45449892,2017-08-02 01:10:08,45446983
45446983,45461669,2017-08-02 13:03:18,45446983
61116039,61116116,2020-04-09 07:35:21,61116039
56028489,56029343,2019-05-07 19:31:41,56028489
65091965,65108281,2020-12-02 12:39:19,65091965
55107466,55111709,2019-03-11 23:08:03,55107466
55107466,58097007,2019-09-25 11:08:14,55107466
60067164,60076275,2020-02-05 12:52:06,60067164
60067164,63871572,2020-09-13 13:52:03,60067164
56875663,56875981,2019-07-03 18:22:29,56875663
62372055,62372730,2020-06-14 12:47:13,62372055
64731400,64731664,2020-11-07 19:39:22,64731400
64731400,64732149,2020-11-07 20:31:24,64731400
55665689,55667962,2019-04-13 17:11:06,55665689
64079249,64085925,2020-09-27 07:23:47,64079249
64139164,64139325,2020-09-30 14:06:23,64139164
64139164,64160715,2020-10-01 17:49:20,64139164
63243154,63250423,2020-08-04 15:43:49,63243154
62420902,62422049,2020-06-17 05:30:35,62420902
62420902,62423348,2020-06-17 07:10:20,62420902
50930300,50930566,2018-06-19 14:12:20,50930300
64206070,64206420,2020-10-05 10:00:23,64206070
63521958,63522614,2020-08-21 12:03:27,63521958
63521958,63525622,2020-08-21 15:22:04,63521958
53538138,53539183,2018-11-29 12:33:21,53538138
53500838,53501763,2018-11-27 14:20:20,53500838
49987673,49996974,2018-04-24 08:35:50,49987673
60144922,60144923,2020-02-10 06:11:20,60144922
60144922,61539864,2020-05-01 09:24:12,60144922
61215873,61216373,2020-04-14 20:13:20,61215873
60101168,60101662,2020-02-06 18:47:41,60101168
60101168,60161912,2020-02-11 04:11:40,60101168
60614678,60614964,2020-03-10 09:44:17,60614678
60614678,64724318,2020-11-07 04:06:46,60614678
54682222,55589383,2019-04-09 09:25:00,54682222
61075390,61457111,2020-04-27 10:47:54,61075390
61990429,61991005,2020-05-24 19:03:21,61990429
63097995,63098077,2020-07-26 08:54:20,63097995
50617917,50619112,2018-05-31 07:38:55,50617917
50480689,50514721,2018-05-24 17:07:48,50480689
50480689,53304000,2018-11-14 15:49:39,50480689
50480689,59680818,2020-01-10 11:29:15,50480689
61639900,61640019,2020-05-06 16:14:40,61639900
64905441,64905526,2020-11-19 04:40:43,64905441
65066981,65067498,2020-11-30 02:44:59,65066981
65066981,65077272,2020-11-30 16:22:04,65066981
60438644,60439262,2020-02-27 18:04:21,60438644
60438644,60439263,2020-02-27 18:04:23,60438644
63660023,63660755,2020-08-30 18:24:13,63660023
55142316,55656361,2019-04-12 16:51:39,55142316
64131993,64163184,2020-10-01 21:05:25,64131993
56719867,56720384,2019-06-23 01:29:53,56719867
63790634,64569985,2020-10-28 09:31:14,63790634
60296710,62169954,2020-06-03 09:52:34,60296710
64867781,64869248,2020-11-17 04:10:55,64867781
50475094,50475266,2018-05-22 19:35:18,50475094
50475094,50542793,2018-05-26 12:32:14,50475094
55720464,55720527,2019-04-17 05:34:11,55720464
45861767,46865203,2017-10-21 16:07:57,45861767
58912268,58956534,2019-11-20 14:20:27,58912268
