12,NA,12
4,NA,4
9,NA,9
15,NA,15
15,NA,15
13,NA,13
12,NA,12
15,NA,15
10,NA,10
1,NA,2
10,NA,10
8,NA,1
9,NA,9
9,NA,9
1,NA,1
1,NA,1
1,NA,1
5,NA,5
2,NA,2
12,NA,9
1,NA,2
2,NA,9
20,NA,20
1,NA,1
12,NA,12
7,NA,7
19,NA,5
9,NA,9
4,NA,4
21,NA,21
24,NA,24
1,NA,1
2,NA,2
15,NA,9
1,NA,1
10,NA,10
7,NA,7
12,NA,12
1,NA,1
7,NA,7
6,NA,6
8,NA,11
7,NA,7
12,NA,22
20,NA,20
9,NA,9
1,NA,1
19,NA,19
13,NA,13
1,1,NA
15,15,NA
22,22,NA
12,12,NA
18,21,NA
10,10,NA
4,4,NA
2,2,NA
2,2,NA
18,22,NA
12,12,NA
9,9,NA
12,12,NA
15,12,NA
7,7,NA
15,15,NA
19,19,NA
1,1,NA
12,12,NA
1,1,NA
23,23,NA
1,1,NA
5,5,NA
18,21,NA
2,2,NA
2,2,NA
2,2,NA
2,2,NA
9,9,NA
12,12,NA
4,4,NA
1,1,NA
1,1,NA
9,9,NA
1,1,NA
9,12,NA
19,19,NA
15,15,NA
19,19,NA
4,4,NA
2,2,NA
2,2,NA
1,1,NA
1,1,NA
1,1,NA
1,1,NA
4,4,NA
9,9,NA
9,9,NA
15,15,NA
4,4,NA
19,19,NA
NA,21,21
NA,10,10
NA,13,24
NA,9,9
NA,9,9
NA,21,21
NA,9,9
NA,21,12
NA,12,12
NA,9,9
NA,24,7
NA,1,1
NA,15,1
NA,9,9
NA,1,1
NA,15,15
NA,22,22
NA,18,18
NA,19,5
NA,12,12
NA,18,18
NA,2,2
NA,12,12
NA,2,9
NA,18,18
NA,7,7
NA,9,9
NA,25,25
NA,11,11
NA,12,12
NA,4,4
NA,4,4
NA,5,5
NA,1,1
NA,18,18
NA,2,2
NA,18,20
NA,15,15
NA,18,18
NA,18,7
NA,1,1
NA,1,7
NA,2,2
NA,7,7
NA,8,2
NA,15,15
NA,2,2
NA,15,15
