Q_id,Id,CreationDate,ParentId
57788412,57790145,2019-09-04 14:02:27,57788412
59731860,59739673,2020-01-14 18:24:29,59731860
55604691,55620183,2019-04-10 19:42:00,55604691
65120345,65122975,2020-12-03 09:17:11,65120345
62111922,62112265,2020-05-31 06:08:25,62111922
65012728,65012862,2020-11-25 21:22:47,65012728
59435653,59441386,2019-12-22 03:20:16,59435653
55227010,55234164,2019-03-19 05:25:25,55227010
55227010,55709317,2019-04-16 13:25:45,55227010
63174079,63174141,2020-07-30 13:21:47,63174079
63980931,63981554,2020-09-20 17:03:17,63980931
55411921,55413219,2019-03-29 08:26:38,55411921
55411921,55432833,2019-03-30 15:16:52,55411921
53990652,53992548,2019-01-01 01:41:14,53990652
53990652,59950297,2020-01-28 13:50:18,53990652
61273244,61277922,2020-04-17 18:05:54,61273244
58084325,58089717,2019-09-25 00:40:07,58084325
55667005,55706320,2019-04-16 10:44:49,55667005
55667005,55711806,2019-04-16 15:33:25,55667005
53884692,53884693,2018-12-21 12:18:07,53884692
52614786,52623576,2018-10-03 09:12:28,52614786
54590661,54591188,2019-02-08 11:11:24,54590661
54590661,58144691,2019-09-28 08:37:46,54590661
59041987,59042130,2019-11-26 00:45:38,59041987
61068181,61070919,2020-04-07 00:20:01,61068181
59856930,59857318,2020-01-22 10:14:49,59856930
59856930,59858804,2020-01-22 11:32:21,59856930
56270834,56270969,2019-05-23 08:22:03,56270834
60615832,60617068,2020-03-10 11:51:47,60615832
56506412,58079333,2019-09-24 11:31:23,56506412
43851657,43882062,2017-05-10 01:08:24,43851657
59231709,59231892,2019-12-08 02:16:02,59231709
41924453,42054194,2017-02-05 16:04:41,41924453
41924453,42202068,2017-02-13 10:41:50,41924453
41924453,58265626,2019-10-07 08:06:49,41924453
41924453,63682242,2020-09-01 06:06:58,41924453
51101177,51103082,2018-06-29 13:37:32,51101177
52866049,52887371,2018-10-19 07:08:54,52866049
52866049,54573050,2019-02-07 12:10:07,52866049
44829420,49842102,2018-04-15 12:50:27,44829420
54976741,54978245,2019-03-04 07:12:14,54976741
55324790,55957384,2019-05-02 17:20:34,55324790
55324790,56802517,2019-06-28 07:17:15,55324790
59253507,59253681,2019-12-09 17:16:55,59253507
56364712,56367219,2019-05-29 19:21:08,56364712
53405934,53407300,2018-11-21 07:40:55,53405934
51364273,51364384,2018-07-16 14:41:51,51364273
64776822,64776823,2020-11-10 21:10:41,64776822
62261602,62288407,2020-06-09 17:25:36,62261602
64974317,64975039,2020-11-23 19:24:42,64974317
63166005,63167067,2020-07-30 06:02:17,63166005
57726064,57726399,2019-08-30 12:02:59,57726064
62139949,62140025,2020-06-01 19:56:50,62139949
61265768,61266138,2020-04-17 07:26:09,61265768
58194657,58197598,2019-10-02 08:10:23,58194657
58514197,58514297,2019-10-23 01:40:21,58514197
64482223,64482379,2020-10-22 12:36:50,64482223
62706421,62884007,2020-07-13 20:47:44,62706421
63810637,63814037,2020-09-09 14:41:34,63810637
62138437,62142081,2020-06-01 22:40:24,62138437
54893935,57372099,2019-08-06 08:41:06,54893935
58857720,58857721,2019-11-14 13:16:26,58857720
61022347,61022568,2020-04-04 01:04:09,61022347
55605577,55617677,2019-04-10 16:49:35,55605577
55605577,58433937,2019-10-17 13:32:27,55605577
52374287,52387459,2018-09-18 13:14:03,52374287
60229897,60237174,2020-02-15 08:43:16,60229897
