,Library,Q_id_set,Support,Pattern_esp,URL_1,URL_2,URL_3,URL_4,URL_5,Final_label,index,Label,Freq.,Percentage,Percentage
10,Tensorflow,"{63354752, 62102912, 63541379, 64831876, 65113349, 63419780, 62529415, 61102728, 63820168, 65021701, 63423501, 64666638, 64108943, 60923917, 62575377, 65005588, 63731349, 65160085, 60991253, 55318038, 63940891, 60287388, 63122336, 64661665, 62079524, 62143530, 63367851, 57842734, 58609967, 64770484, 65105974, 64478391, 65081913, 62102458, 58311358, 63343167, 64611269, 59073606, 63142726, 64504134, 59364422, 63982154, 62586443, 57748812, 63471308, 63546062, 61940176, 64867031, 64003545, 63174874, 64112222, 61882720, 58751457, 59906786, 63570400, 63315046, 63549926, 63656294, 60587885, 64730222, 61280885, 58902773, 63971321}",68,"(('function', '_filtered_call'), ('function', '_call_flat'), ('function', 'call'))",https://stackoverflow.com/questions/65021701,https://stackoverflow.com/questions/64770484,https://stackoverflow.com/questions/61280885,https://stackoverflow.com/questions/63174874,https://stackoverflow.com/questions/64666638,method wrapper,11,syntax / attribute extraction,31,3.96%,
11,Tensorflow,"{59094787, 57486468, 63012878, 57719697, 62299803, 55735837, 56528929, 51991589, 52517298, 54867896, 60104249, 62075321, 62466877, 53563976, 54955595, 57134808, 56386913, 50889192, 51955693, 61087735, 54024958, 59409919}",26,"(('training', 'train_and_evaluate'), ('training', 'run'), ('training', 'run_local'), ('estimator', 'train'), ('estimator', '_train_model'), ('estimator', '_train_model_default'))",https://stackoverflow.com/questions/62299803,https://stackoverflow.com/questions/54955595,https://stackoverflow.com/questions/55735837,https://stackoverflow.com/questions/62466877,https://stackoverflow.com/questions/62075321,model training / learning,12,parallelization,66,8.44%,
12,Tensorflow,"{59873568, 63322338, 62535782, 50889192, 59116872, 59230831, 64859381, 61336639, 59015359}",9,"(('base_layer', '__call__'), ('convolutional', 'call'), ('nn_ops', '__call__'), ('nn_ops', '__call__'), ('nn_ops', '__call__'))",https://stackoverflow.com/questions/62535782,https://stackoverflow.com/questions/61336639,https://stackoverflow.com/questions/50889192,https://stackoverflow.com/questions/63322338,https://stackoverflow.com/questions/64859381,model training / construction,13,model conversion,6,0.77%,
13,Tensorflow,"{61169380, 62428455, 60005319, 61603465, 61648779, 59029836, 59732495, 61640660, 60937557, 60694015}",20,"(('interactiveshell', 'showtraceback'), ('pywrap_tensorflow', 'module'), ('pywrap_tensorflow_internal', 'module'), ('pywrap_tensorflow_internal', 'swig_import_helper'), ('imp', 'load_module'), ('imp', 'load_dynamic'))",https://stackoverflow.com/questions/60005319,https://stackoverflow.com/questions/61640660,https://stackoverflow.com/questions/60937557,https://stackoverflow.com/questions/59732495,https://stackoverflow.com/questions/62428455,external module execution,14,object copy,15,1.92%,
14,Tensorflow,"{47266305, 60917250, 63860741, 61867526, 50260495, 59732495, 62679567, 50738706, 64296467, 59042324, 55139349, 61063190, 47255063, 62761496, 50586649, 59114521, 60597787, 53028372, 60319768, 44369434, 59757089, 59673125, 47943207, 63464487, 45964839, 57537065, 58751019, 49007149, 63736368, 56477744, 60738612, 48568886, 62472764, 61584446, 58829887, 59475010, 57002050, 52761157, 56093768, 57337931, 54303308, 55261260, 55205966, 61526096, 55120984, 54259288, 49073754, 60871774, 48600160, 61007457, 62295138, 50977379, 62483557, 49040998, 55869031, 59501673, 56311402, 63230059, 60637290, 61774445, 56370294, 44863095, 59543160, 51121273, 55770234, 62745723, 54934138, 53462143, 63376512, 61332608, 61013120, 62700675, 55460484, 52953219, 63070852, 52604040, 61603465, 57696905, 61991563, 54665872, 61092497, 59693201, 56667802, 53279390, 49446047, 54508708, 63708332, 59681453, 54861998, 63063727, 46230191, 60277945, 64217275, 60711103, 53923014, 58513607, 47652345, 53299410, 62376660, 57841364, 62725844, 61849305, 60884699, 50283741, 59919582, 61933792, 60181731, 61169380, 60543207, 61463273, 64194283, 61710061, 61071085, 59847919, 55564014, 65048304, 52544754, 59593972, 56200950, 57780983, 45733111, 44289277, 62294271, 52666624, 56271619, 52412165, 55833353, 56002315, 46779659, 60358413, 63473428, 55864599, 62013721, 48483612, 48135452, 60946205, 60044577, 60182306, 64701223, 62428455, 60906283, 62898484, 60399413, 62311222, 60535095, 56415547, 51311420, 61214015, 59995456, 59372863, 59426629, 59584838, 55549257, 59029836, 57133906, 61172051, 48553812, 60937557, 54064982, 48479571, 49781077, 62102870, 60983141, 45275507, 55521652, 53269883, 60029821, 48428415, 55912838, 55389064, 54749065, 61648779, 55229836, 53812109, 44453264, 53950354, 56410003, 49757077, 54916508, 60395932, 51471264, 62308262, 43944871, 53562793, 55200171, 53596076, 56326649, 61926834, 54704052, 55071668, 58395061, 61308343, 56681399, 51848122, 52144575, 60920262, 60005319, 48885193, 51307978, 63025100, 57334227, 54066132, 53620181, 61640660, 49726936, 62991842, 60873706, 48480238, 61086705, 62979577, 64602619, 57042429, 60694015}",411,"(('pywrap_tensorflow_internal', 'module'), ('pywrap_tensorflow_internal', 'swig_import_helper'), ('imp', 'load_module'), ('imp', 'load_dynamic'))",https://stackoverflow.com/questions/52761157,https://stackoverflow.com/questions/59593972,https://stackoverflow.com/questions/52544754,https://stackoverflow.com/questions/48885193,https://stackoverflow.com/questions/55120984,external module execution,15,data transformation,64,8.18%,
15,Tensorflow,"{60448067, 44202825, 61180970, 44973518, 56581231, 42270132, 50476182, 45266845}",64,"(('pydev_import_hook', 'do_import'),)",https://stackoverflow.com/questions/61180970,https://stackoverflow.com/questions/44973518,https://stackoverflow.com/questions/50476182,https://stackoverflow.com/questions/44202825,https://stackoverflow.com/questions/42270132,python basic syntax,16,data creation,13,1.66%,
16,Tensorflow,"{42322176, 61545217, 52121347, 61102728, 63820168, 64779033, 64910753, 53688367, 53753776, 61436339, 63091894, 53662521, 57173690, 52032828, 62466877, 50329855, 56163917, 60727762, 60077784, 57718883, 57574501, 58013427, 43121525, 56347384, 63971321, 64573695}",56,"(('script_ops', '__call__'),)",https://stackoverflow.com/questions/63820168,https://stackoverflow.com/questions/62466877,https://stackoverflow.com/questions/63971321,https://stackoverflow.com/questions/64779033,https://stackoverflow.com/questions/43121525,data operation,17,model validation,15,1.92%,
17,Tensorflow,"{52551296, 44873984, 53565065, 62488073, 44274062, 47644306, 49370642, 55945364, 59867929, 64668956, 43990046, 49701918, 57036446, 45047205, 56304037, 49372585, 49864234, 52517298, 42223668, 58278454, 51625911, 47678647, 51822134, 49031102, 56585023, 49476287, 47257408, 51424835, 53584580, 52227910, 51734983, 52993992, 55672135, 64875082, 57127626, 50911052, 64059981, 53003208, 40948687, 51872592, 49016530, 51123667, 44890067, 51046867, 47735638, 51611221, 41990876, 44435677, 48461151, 41374175, 45059428, 64999781, 43084137, 44174697, 42741738, 46694252, 59998441, 52917486, 47834733, 47273200, 61737710, 54998898, 57075956, 49683444, 48157558, 52376692, 43324156}",76,"(('session', '_do_call'), ('runpy', '_run_module_as_main'), ('runpy', '_run_code'))",https://stackoverflow.com/questions/42223668,https://stackoverflow.com/questions/47834733,https://stackoverflow.com/questions/51822134,https://stackoverflow.com/questions/45059428,https://stackoverflow.com/questions/47735638,external module execution,18,data validation,20,2.56%,
18,Tensorflow,"{61156227, 65142116, 40956040, 65092719, 58737712, 46547319}",10,"(('message', 'ParseFromString'), ('python_message', 'MergeFromString'))",https://stackoverflow.com/questions/65142116,https://stackoverflow.com/questions/65092719,https://stackoverflow.com/questions/58737712,https://stackoverflow.com/questions/61156227,https://stackoverflow.com/questions/46547319,model saving / loading,19,hyperparameter tuning,3,0.38%,
19,Tensorflow,"{47205248, 62970881, 57981959, 46627335, 60115848, 45355399, 50384264, 49453203, 41986583, 48285212, 41818654, 61295402, 51286963, 50771636, 49661495, 61446844, 50937533, 44797757, 50101695, 42784573, 46996670, 44809532, 54020164, 49364933, 36218823, 45514055, 48749515, 48959947, 47787085, 40967761, 49620049, 45441365, 37680219, 39454685, 45164770, 44725860, 45929189, 46637670, 48219112, 55647209, 43896553, 59998441, 38411113, 59997686}",85,"(('variable_scope', 'get_variable'), ('variable_scope', 'get_variable'))",https://stackoverflow.com/questions/48285212,https://stackoverflow.com/questions/40967761,https://stackoverflow.com/questions/61295402,https://stackoverflow.com/questions/45514055,https://stackoverflow.com/questions/54020164,syntax / attribute extraction,20,data conversion,2,0.26%,
20,Tensorflow,"{58968487, 61773514, 58184299, 61737106, 60582012, 60245886}",7,"(('__init__', 'module'), ('_distributor_init', 'module'))",https://stackoverflow.com/questions/61773514,https://stackoverflow.com/questions/61737106,https://stackoverflow.com/questions/60582012,https://stackoverflow.com/questions/58968487,https://stackoverflow.com/questions/60245886,python basic syntax,21,file operation,8,1.02%,
